_id,OBJECTID,PROJ_NUM,LAST_UPDATED_DATE,PROJECT,LOCATION,DETAILS,DURATION/ Construction Timeline,STATUS,INV_PRIORITY,OWNER,CONTACT_NAME,CONTACT_EMAIL,INV_WEB_SITE,INV_DISPLAY_PROGRAM,INV_DISPLAY_SYMBOL,START_YEAR,CONTR_NUMBER,geometry
212,2183132,TS2023-13-001,2024-04-25,Major Road Reconstruction,GERRARD ST E<br> From: ONTARIO ST<br> To: BERKELEY ST ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marilia Cimini, Engineering and Construction Services",mcimini@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.369717270556, 43.6617810420143], [-79.3685391004844, 43.6620435135146]]]}"
213,2183136, ,2024-04-26,Local Road Reconstruction,ORCHARD PARK DR<br> From: KINGSTON RD<br> To: WEST HILL DR ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.1793273642884, 43.7746799796424], [-79.1793724937914, 43.7747707119138], [-79.1794136491163, 43.7748287408119], [-79.1794531611877, 43.7748595365825], [-79.1795028849331, 43.7748832500598], [-79.1795664274775, 43.7748966779302], [-79.1796418052101, 43.7748990765158], [-79.1798225575913, 43.7749043986306], [-79.1804253842324, 43.7748996589477], [-79.1810603954493, 43.774904520126], [-79.1817180586851, 43.7749199272084]]]}"
214,2183139,TS2023-13-001,2024-04-25,Major Road Reconstruction,GERRARD ST E<br> From: SHERBOURNE ST<br> To: CENTRAL HOSPITAL LANE ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marilia Cimini, Engineering and Construction Services",mcimini@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3722361278757, 43.6612269179245], [-79.3714387971841, 43.6614023333006]]]}"
215,2183141,TS2023-19-039,2024-04-25,Local Road Rehabilitation,NORWAY AVE<br> From: BELLEFAIR AVE<br> To: WHEELER AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2024,Active,None,Transportation Services,<Null> Transportation Roads State of Good Repair,RoadSOGR@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2024,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3016141788901, 43.6743716663573], [-79.300699902635, 43.6745670248752]]]}"
216,2183142, ,2024-04-25,Local Road Rehabilitation,FORMAN AVE<br> From: TILSON RD<br> To: MANOR RD E ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2023 - Q4 2024,Active,None,Transportation Services,"Jennifer Harris, Engineering and Construction Services",jharris9@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2023,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3840438031484, 43.7043243166408], [-79.384501304193, 43.7047478127442], [-79.3847068098106, 43.7049505398808], [-79.3847728631353, 43.7050766153214]]]}"
217,2183144,TS2023-19-039,2024-04-25,Local Road Rehabilitation,NORWAY AVE<br> From: KENILWORTH AVE<br> To: WAVERLEY RD ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q1 2024 - Q4 2024,Active,None,Transportation Services,"Angela Au, Engineering and Construction Services",aau2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2024,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3038089960811, 43.6739026599814], [-79.3026777118082, 43.6741350351673]]]}"
218,2183145, ,2024-04-26,Local Road Reconstruction,MINUK ACRES<br> From: BEECHGROVE DR<br> To: [193 m S] BEECHGROVE DR [CUL-DE-SAC] ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.1578992594287, 43.7663211801081], [-79.1579477759662, 43.76623142162], [-79.1579588748281, 43.7660470208393], [-79.1579068484269, 43.765920146642], [-79.1573528711963, 43.7646543895528]]]}"
219,2183150, ,2024-04-26,Local Road Reconstruction,CHEMICAL CRT<br> From: [305 m S] CORONATION DR [CUL-DE-SAC]<br> To: CORONATION DR ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.1620622834549, 43.7627011681241], [-79.1622774270189, 43.7632646925945], [-79.162553098702, 43.7639405949701], [-79.1629828744996, 43.7649679518647], [-79.1632110524219, 43.7655356803347]]]}"
220,2183152, ,2024-04-26,Laneway Reconstruction,[43.70 m S] BALDWIN ST<br> From: HURON ST<br> To: [79.20 m W] HURON ST ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3967609665791, 43.6547857319485], [-79.3978420555363, 43.6545627585005]]]}"
221,2183156,TS2023-13-001 ,2024-04-25,Major Road Reconstruction,GERRARD ST E<br> From: BERKELEY ST<br> To: [N] GERRARD ST E [BRANCH] ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marilia Cimini, Engineering and Construction Services",mcimini@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3685391004844, 43.6620435135146], [-79.3681759569219, 43.6621129637347]]]}"
222,2183159, ,2024-04-26,Laneway Reconstruction,[34 m N] FLORENCE AVE<br> From: [54 m E] EILEEN AVE<br> To: EILEEN AVE ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.4949862032113, 43.669597367554], [-79.4946385497765, 43.6699354237542], [-79.4945038551906, 43.6700663867132]]]}"
223,2183163,TS2023-15-412,2024-04-25,Local Road Rehabilitation,FORMAN AVE<br> From: HILLSDALE AVE E<br> To: SOUDAN AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2023 - Q4 2024,Active,None,Transportation Services,"Jennifer Harris, Engineering and Construction Services",jharris9@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2023,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3850193367686, 43.7059634529295], [-79.3850787076339, 43.7061525393568], [-79.3851325028759, 43.7064091026798], [-79.3853026183785, 43.7068773306224]]]}"
224,2183165,TS2023-13-001,2024-04-25,Major Road Reconstruction,[N] GERRARD ST E [BRANCH]<br> From: GERRARD ST E<br> To: PARLIAMENT ST ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marilia Cimini, Engineering and Construction Services",mcimini@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3681759569219, 43.6621129637347], [-79.3671914128856, 43.6623343372957]]]}"
225,2183167, ,2024-04-26,Local Road Reconstruction,ZAPH AVE<br> From: ELLESMERE RD<br> To: [762 m N] ELLESMERE AVE [CUL-DE-SAC] ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.1667276234715, 43.7917397000644], [-79.1673478484554, 43.7930824683157], [-79.1677442425347, 43.7939406277982], [-79.1678281460546, 43.7941287162154], [-79.1683264183163, 43.7952195696462], [-79.1687670351239, 43.7961779280947], [-79.1688008396468, 43.7962514392297], [-79.1692238872852, 43.7971715440685], [-79.1698651193128, 43.798558418693], [-79.1700033120453, 43.7988717327343], [-79.1700847491128, 43.7990317917288], [-79.1700913723145, 43.7990386606997]]]}"
226,2183169,TS2023-19-039,2024-04-25,Local Road Rehabilitation,NORWAY AVE<br> From: WHEELER AVE<br> To: LEE AVE ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q1 2024 - Q4 2024,Active,None,Transportation Services,"Angela Au, Engineering and Construction Services",aau2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2024,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.300699902635, 43.6745670248752], [-79.2997830474381, 43.6747641538171]]]}"
227,2183170, ,2024-04-25,Local Road Rehabilitation,FORMAN AVE<br> From: MILLWOOD RD<br> To: [S] BELSIZE DR [BRANCH] ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2023 - Q4 2024,Active,None,Transportation Services,"Jennifer Harris, Engineering and Construction Services",jharris9@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2023,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.381884387155, 43.7028009889675], [-79.3822251867822, 43.7030128616333], [-79.3829641091276, 43.7034591567903]]]}"
228,2183172,TS2023-20-242,2024-04-25,Local Road Rehabilitation,QUEEN ST E<br> From: BLANTYRE AVE<br> To: COURCELETTE RD ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q1 2024 - Q4 2024,Active,None,Transportation Services,"Angela Au, Engineering and Construction Services",aau2@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2024,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.2787488828365, 43.6747730029172], [-79.2785932110234, 43.6748627056978], [-79.2784036723208, 43.6749248075819], [-79.2782173280969, 43.6749713610692], [-79.2777300878603, 43.6750905643067], [-79.2775022955206, 43.6751406905615]]]}"
229,2183173,TS2023-13-049,2024-04-25,Local Road Rehabilitation,ST PAUL ST<br> From: RAY LANE<br> To: QUEEN ST E ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",2024,Active,None,Transportation Services,<Null> Transportation Roads State of Good Repair,RoadSOGR@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2024,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3603556852797, 43.6560617043887], [-79.3603641264021, 43.656083849022], [-79.3605137809109, 43.6564794970693]]]}"
230,2183174, ,2024-04-26,Laneway Reconstruction,[46.30 m N] DUNDAS ST W<br> From: [42.70 m W] BEVERLEY ST<br> To: [95.40 m E] HURON ST ,"Replacement of the entire laneway pavement structure, including the asphalt, concrete and underlying support materials. Repair, improvement, or replacement of laneway drainage, curbs, and associated areas. Work may include the closure of individual lanes or the entire laneway. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q3 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Niloufar Mohajerani, Engineering and Construction Services",nmohaje@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3945509554386, 43.6541713705789], [-79.3958991799977, 43.6539042939077]]]}"
231,2183175,TS2023-13-001,2024-04-25,Major Road Reconstruction,GERRARD ST E<br> From: CENTRAL HOSPITAL LANE<br> To: SEATON ST ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q4 2025 - Q4 2026,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Marilia Cimini, Engineering and Construction Services",mcimini@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3714387971841, 43.6614023333006], [-79.3707022076572, 43.66156440883]]]}"
232,2183181,TS2023-15-056,2024-04-25,Local Road Rehabilitation,SUTHERLAND DR<br> From: HANNA RD<br> To: MILLWOOD RD ,"Replacement of partial road pavement structure or entire road pavement structure for either partial lane width, full lane width or full road width. This could include the asphalt and underlying support materials. Repair, improvement or replacement of road drainage, damaged sidewalk, boulevards and curbs. Work may include the closure of individual lanes or the entire road.",Q3 2023 - Q4 2024,Active,None,Transportation Services,"Jennifer Harris, Engineering and Construction Services",jharris9@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2023,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3656025212801, 43.7015590830966], [-79.3654901766471, 43.7016804772203], [-79.3652001919071, 43.7020041906512], [-79.3649053694088, 43.702408918113], [-79.3646709227705, 43.7028497303913], [-79.3645199845527, 43.7032366245015], [-79.3643893305691, 43.7035740264333]]]}"
233,2183185, ,2024-04-26,Major Road Reconstruction,DON MILLS RD<br> From: [SB] DON VALLEY PKWY<br> To: OVERLEA BLVD ,"Replacement of the entire road pavement structure, including the asphalt and underlying support materials. Repair, improvement, or replacement of: road drainage, curbs, boulevards and sidewalks. Work may include the closure of individual lanes or the entire road.  Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well. Also, includes the replacement of the City-owned portion of substandard water service connections. The property owner is encouraged to replace the private portion of the substandard water service connection, as well.",Q2 2026 - Q4 2028,Active,1 - Projects with approved or allocated funding in the Capital Works Program.,Transportation Services,"Hafeez Shaikh, Engineering and Construction Services",hshaikh4@toronto.ca,https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,TS_Road_Reconstruction,12,2025,EXTERNAL,"{""type"": ""MultiLineString"", ""coordinates"": [[[-79.3377209526631, 43.7002941448173], [-79.3377257000119, 43.7006408088687], [-79.3377256261363, 43.7006681996593], [-79.3377245472318, 43.7006956160267], [-79.3377228602442, 43.7007230855385], [-79.3377203050894, 43.7007504368009], [-79.3377168689225, 43.7007778318188], [-79.3377128500415, 43.7008050729873], [-79.3377079380793, 43.7008322318761], [-79.3377021450773, 43.7008594435213], [-79.3376957323077, 43.7008864382553], [-79.3376884635043, 43.7009134137707], [-79.3376804755791, 43.7009402082388], [-79.3376717061566, 43.7009669475887], [-79.3376622052521, 43.7009934878708], [-79.3376518239816, 43.7010198288735], [-79.3376408596974, 43.7010461240406], [-79.3376289903044, 43.7010721928888], [-79.3376163893528, 43.7010980896722], [-79.3376031562919, 43.7011237425214], [-79.3375890922452, 43.701149286173], [-79.3375743838021, 43.701174540866], [-79.337558919178, 43.701199551448], [-79.3375427230886, 43.7012243539587], [-79.3375257832236, 43.7012489123753], [-79.3375082112694, 43.7012732178549], [-79.3374898957328, 43.7012972072298], [-79.337471730038, 43.7013208367636], [-79.3374606349498, 43.701340389768], [-79.3374488084981, 43.7013596986967], [-79.3374362258438, 43.7013787725154], [-79.3374228992477, 43.701397665249], [-79.3374088044302, 43.7014161788345], [-79.3373942510553, 43.701434502739], [-79.3373788176978, 43.7014524833411], [-79.3373629011141, 43.7014702202191], [-79.3373462287389, 43.7014875689642], [-79.3373289243744, 43.7015046287666], [-79.3373109013172, 43.7015213454948], [-79.3372923705351, 43.7015377014463], [-79.337273319889, 43.7015535975894], [-79.3372535502331, 43.7015692676736], [-79.3372332980801, 43.7015844239945], [-79.3372124264169, 43.7015992643847], [-79.3372047722522, 43.7016034750835], [-79.3371889295395, 43.7016122197646], [-79.3371721440153, 43.7016254997449], [-79.3371688878372, 43.7016275383967], [-79.337148599884, 43.7016421545746], [-79.337108370176, 43.7016718194743], [-79.3370758146516, 43.7016944562985], [-79.3370426150808, 43.7017166691349], [-79.3370088090995, 43.7017383050152], [-79.3369743961468, 43.7017595709673], [-79.3369394633896, 43.7017803500984], [-79.3369040607005, 43.7018005524664], [-79.3368681379636, 43.701820358025], [-79.3368316212736, 43.70183956864], [-79.3367945846829, 43.701858328437], [-79.336757189411, 43.7018766646497], [-79.3367192872325, 43.7018943340314], [-79.3366809148077, 43.7019115436634], [-79.336642034989, 43.7019282664883], [-79.3366027845975, 43.7019443766833], [-79.3365630392205, 43.7019600000881], [-79.3364111060284, 43.7020311628851], [-79.3363658926924, 43.7020454192025], [-79.3363209506025, 43.7020602969786], [-79.3362762303982, 43.7020756971288], [-79.3362320295318, 43.7020917370964], [-79.3361881745225, 43.7021083356216], [-79.3361448270303, 43.7021253579176], [-79.3361017381758, 43.7021430736663], [-79.3360592684523, 43.7021612313492], [-79.3360170204129, 43.7021799834187], [-79.3359683724448, 43.7022024708202], [-79.3359547933909, 43.702209058271], [-79.3359341580257, 43.7022189480625], [-79.3358934191142, 43.7022393404847], [-79.3358531507639, 43.702260057614], [-79.3358133893365, 43.7022814145479], [-79.3357742593946, 43.7023032314403], [-79.335735475597, 43.7023254988805], [-79.3356973230877, 43.7023482982902], [-79.33566053458, 43.7023713786878], [-79.3356175371389, 43.7023918487754], [-79.3355750470851, 43.7024127876431], [-79.3355330767517, 43.7024342223129], [-79.3354914276717, 43.7024561344973], [-79.3354503106689, 43.7024785605052], [-79.335409812692, 43.7025014644572], [-79.3353696606583, 43.7025248909671], [-79.3353301528091, 43.7025486694406], [-79.3352911148516, 43.7025730156579], [-79.3352527086465, 43.7025977228233], [-79.3352147972949, 43.702622943762], [-79.3351773687097, 43.7026485614402], [-79.3351405841606, 43.7026745850924], [-79.3351161298228, 43.7026925163688], [-79.3351044061546, 43.7027011136791], [-79.3350688475923, 43.702727967194], [-79.3350337964628, 43.7027552714939], [-79.3349994636407, 43.7027830448861], [-79.334965663313, 43.7028111790878], [-79.3349325692561, 43.7028396473465], [-79.3348999701263, 43.7028686023792], [-79.3348681519341, 43.7028978105665], [-79.3348369156937, 43.7029274426456], [-79.3348064227746, 43.7029574718464], [-79.3347764623268, 43.7029878708608], [-79.3347643301208, 43.7030006171336], [-79.3347473200656, 43.7030185140846], [-79.3347186978445, 43.7030495361064], [-79.3346939799612, 43.7030774853307], [-79.3346792443347, 43.7031436233995], [-79.3346206194394, 43.7032293297576], [-79.3345524627704, 43.7033160124287], [-79.3344885494172, 43.7034161671105], [-79.3344207778868, 43.7035340756826], [-79.3343659983715, 43.7036513999534], [-79.3343180578241, 43.7037767812484], [-79.3342692039732, 43.7039228461261], [-79.3342185704537, 43.7040572697499], [-79.3341892467174, 43.7041759720314], [-79.3341579149175, 43.7042939152824], [-79.3341307544323, 43.7044289669963], [-79.3341067424719, 43.7045560751451], [-79.3340884748328, 43.7046698157313], [-79.3340599557832, 43.7047979704719], [-79.3340296572173, 43.7049144749711], [-79.3340008607907, 43.7050306485942], [-79.3339798043847, 43.7051341866611], [-79.3339552262029, 43.7052144783201], [-79.3339352393577, 43.7052900959812], [-79.3339269551054, 43.7053245318161], [-79.3339106058656, 43.7054308220919], [-79.3339075734831, 43.7054505574763], [-79.3338706761648, 43.7055974676303], [-79.3338625884574, 43.7057269391753], [-79.3338337080699, 43.7058732488756], [-79.3338026754914, 43.70602602735], [-79.3337754897712, 43.7061875966468], [-79.333759793292, 43.706322403861], [-79.3337263929975, 43.7064697330902], [-79.3337099880079, 43.7066408323834], [-79.3337089442624, 43.7067939694794], [-79.3337039328192, 43.7069191158502], [-79.3336886695626, 43.7070586673369], [-79.3336988281416, 43.7072260877326], [-79.3336959104362, 43.7074242014295], [-79.3337008164375, 43.7075795794753], [-79.3337275259913, 43.7077431983922], [-79.333752432569, 43.7078723128133], [-79.3337693340653, 43.7080020636761], [-79.3337815843693, 43.7081401069393], [-79.3338014310737, 43.7082728054886], [-79.3338195219395, 43.7083673721083], [-79.3338403777585, 43.7084492599566], [-79.3338437318838, 43.7085062698606], [-79.3338657533806, 43.7085794641723], [-79.3339195939536, 43.7087862115117], [-79.3339800209615, 43.7089625441027], [-79.334036937781, 43.7091384755041], [-79.3341004313363, 43.7093369735907], [-79.3342038805803, 43.7095852975964], [-79.3343136679073, 43.7098484647707], [-79.3343949848033, 43.7099964463986]]]}"
